epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.43544,1.88385,4.07497,1.5329,0.00091,0.02976,5e-05,1e-05,1.88941,4.04146,1.72215,0.00041675,0.00041675,0.00041675
2,6.59035,1.77888,4.07137,1.49784,0.00091,0.02976,5e-05,1e-05,1.88941,4.04146,1.72215,0.000953163,0.000953163,0.000953163
3,9.58323,2.02259,4.0644,1.64003,0.00091,0.02976,5e-05,1e-05,1.88941,4.04146,1.72215,0.00146757,0.00146757,0.00146757
4,12.6319,2.00936,4.04024,1.65195,0.01248,0.20865,0.00389,0.00161,1.89933,3.6996,1.32196,0.00156798,0.00156798,0.00156798
5,15.6317,1.83664,2.59793,1.39565,0.01248,0.20865,0.00389,0.00161,1.89933,3.6996,1.32196,0.00153497,0.00153497,0.00153497
6,18.6457,1.93162,2.65052,1.35406,0.01248,0.20865,0.00389,0.00161,1.89933,3.6996,1.32196,0.00150197,0.00150197,0.00150197
7,21.6601,2.01503,2.86131,1.38655,0.01248,0.20865,0.00389,0.00161,1.89933,3.6996,1.32196,0.00146896,0.00146896,0.00146896
8,24.6187,1.98188,2.38463,1.29622,0.03169,0.61936,0.31684,0.11366,1.80404,3.08782,1.27972,0.00143595,0.00143595,0.00143595
9,27.6185,2.27882,2.20556,1.45799,0.03169,0.61936,0.31684,0.11366,1.80404,3.08782,1.27972,0.00140295,0.00140295,0.00140295
10,30.8629,1.91027,1.93147,1.37153,0.03169,0.61936,0.31684,0.11366,1.80404,3.08782,1.27972,0.00136994,0.00136994,0.00136994
11,34.4132,1.95759,1.7792,1.31275,0.03169,0.61936,0.31684,0.11366,1.80404,3.08782,1.27972,0.00133693,0.00133693,0.00133693
12,37.8907,1.86919,1.79376,1.31972,0.5926,0.71838,0.63862,0.27352,1.75445,2.69803,1.21808,0.00130393,0.00130393,0.00130393
13,41.1577,1.88952,1.68212,1.24833,0.5926,0.71838,0.63862,0.27352,1.75445,2.69803,1.21808,0.00127092,0.00127092,0.00127092
14,44.5158,1.89057,1.80265,1.25178,0.5926,0.71838,0.63862,0.27352,1.75445,2.69803,1.21808,0.00123791,0.00123791,0.00123791
15,47.8537,1.66791,1.50241,1.21164,0.5926,0.71838,0.63862,0.27352,1.75445,2.69803,1.21808,0.00120491,0.00120491,0.00120491
16,51.1853,1.5959,1.38916,1.10024,0.67943,0.52994,0.65118,0.32933,1.56835,2.29957,1.15818,0.0011719,0.0011719,0.0011719
17,54.453,1.61168,1.34894,1.12845,0.67943,0.52994,0.65118,0.32933,1.56835,2.29957,1.15818,0.00113889,0.00113889,0.00113889
18,57.7566,1.66776,1.34228,1.19484,0.67943,0.52994,0.65118,0.32933,1.56835,2.29957,1.15818,0.00110589,0.00110589,0.00110589
19,61.1179,1.71841,1.45989,1.14318,0.70666,0.8482,0.83191,0.4482,1.44854,1.69175,1.07061,0.00107288,0.00107288,0.00107288
20,64.4386,1.55017,1.32398,1.08209,0.70666,0.8482,0.83191,0.4482,1.44854,1.69175,1.07061,0.00103987,0.00103987,0.00103987
21,67.8263,1.54127,1.2705,1.10316,0.70666,0.8482,0.83191,0.4482,1.44854,1.69175,1.07061,0.00100687,0.00100687,0.00100687
22,71.3126,1.37802,1.14887,1.06345,0.70666,0.8482,0.83191,0.4482,1.44854,1.69175,1.07061,0.000973861,0.000973861,0.000973861
23,74.8686,1.39916,1.36437,1.10586,0.7485,0.8655,0.84039,0.46552,1.40599,1.50919,1.07057,0.000940855,0.000940855,0.000940855
24,78.0627,1.56173,1.22049,1.12062,0.7485,0.8655,0.84039,0.46552,1.40599,1.50919,1.07057,0.000907848,0.000907848,0.000907848
25,81.2173,1.47208,1.20994,1.08091,0.7485,0.8655,0.84039,0.46552,1.40599,1.50919,1.07057,0.000874842,0.000874842,0.000874842
26,84.2919,1.43847,1.18267,1.06072,0.7485,0.8655,0.84039,0.46552,1.40599,1.50919,1.07057,0.000841835,0.000841835,0.000841835
27,87.4779,1.48804,1.16256,1.09899,0.82831,0.86652,0.88329,0.52779,1.31225,1.2613,1.03767,0.000808828,0.000808828,0.000808828
28,90.6245,1.39534,1.11905,1.01814,0.82831,0.86652,0.88329,0.52779,1.31225,1.2613,1.03767,0.000775822,0.000775822,0.000775822
29,93.7696,1.42836,1.10639,1.05494,0.82831,0.86652,0.88329,0.52779,1.31225,1.2613,1.03767,0.000742815,0.000742815,0.000742815
30,96.9024,1.47741,1.14481,1.01983,0.82831,0.86652,0.88329,0.52779,1.31225,1.2613,1.03767,0.000709809,0.000709809,0.000709809
31,100.076,1.31576,1.05258,1.05574,0.90447,0.86529,0.90849,0.5773,1.22835,1.0525,1.00788,0.000676802,0.000676802,0.000676802
32,103.173,1.34281,1.04095,1.00014,0.90447,0.86529,0.90849,0.5773,1.22835,1.0525,1.00788,0.000643795,0.000643795,0.000643795
33,106.284,1.30697,1.13484,1.04629,0.90447,0.86529,0.90849,0.5773,1.22835,1.0525,1.00788,0.000610789,0.000610789,0.000610789
34,109.395,1.33142,1.03904,1.02525,0.91194,0.92857,0.94446,0.61464,1.19135,0.89063,0.99117,0.000577782,0.000577782,0.000577782
35,112.521,1.28866,0.96868,1.03297,0.91194,0.92857,0.94446,0.61464,1.19135,0.89063,0.99117,0.000544776,0.000544776,0.000544776
36,115.658,1.39653,1.06737,0.98984,0.91194,0.92857,0.94446,0.61464,1.19135,0.89063,0.99117,0.000511769,0.000511769,0.000511769
37,118.791,1.28893,1.02017,1.02802,0.91194,0.92857,0.94446,0.61464,1.19135,0.89063,0.99117,0.000478762,0.000478762,0.000478762
38,121.833,1.24728,0.96962,1.01789,0.91658,0.95238,0.95969,0.64421,1.15268,0.80024,0.9772,0.000445756,0.000445756,0.000445756
39,125,1.29842,0.91111,0.99404,0.91658,0.95238,0.95969,0.64421,1.15268,0.80024,0.9772,0.000412749,0.000412749,0.000412749
40,128.182,1.23242,0.95116,0.97217,0.91658,0.95238,0.95969,0.64421,1.15268,0.80024,0.9772,0.000379743,0.000379743,0.000379743
41,131.277,1.2648,1.03575,1.01756,0.91658,0.95238,0.95969,0.64421,1.15268,0.80024,0.9772,0.000346736,0.000346736,0.000346736
42,134.388,1.19433,1.02997,1.02603,0.95921,0.94516,0.96449,0.66379,1.12931,0.75933,0.96969,0.000313729,0.000313729,0.000313729
43,137.388,1.21969,1.03929,1.00817,0.95921,0.94516,0.96449,0.66379,1.12931,0.75933,0.96969,0.000280723,0.000280723,0.000280723
44,140.416,1.42908,1.44278,1.00422,0.95921,0.94516,0.96449,0.66379,1.12931,0.75933,0.96969,0.000247716,0.000247716,0.000247716
45,143.443,1.15269,0.91707,0.9918,0.95921,0.94516,0.96449,0.66379,1.12931,0.75933,0.96969,0.00021471,0.00021471,0.00021471
46,146.513,1.3086,1.14865,1.06174,0.9548,0.94522,0.96279,0.66063,1.13332,0.75638,0.97434,0.000181703,0.000181703,0.000181703
47,149.589,1.3293,1.31226,1.02008,0.9548,0.94522,0.96279,0.66063,1.13332,0.75638,0.97434,0.000148696,0.000148696,0.000148696
48,152.603,1.17263,1.06094,0.9969,0.9548,0.94522,0.96279,0.66063,1.13332,0.75638,0.97434,0.00011569,0.00011569,0.00011569
49,155.72,1.22439,0.89647,1.02917,0.95438,0.95536,0.96204,0.65213,1.13471,0.76056,0.97631,8.26832e-05,8.26832e-05,8.26832e-05
50,158.715,1.26824,0.97139,0.99889,0.95438,0.95536,0.96204,0.65213,1.13471,0.76056,0.97631,4.96766e-05,4.96766e-05,4.96766e-05
